data_id,value,num_item_id,age,comprehension,production,language,form,birth_order,ethnicity,sex,zygosity,norming,mom_ed,longitudinal,source_name,license,item_id,definition,type,category,lexical_category,lexical_class,sound,complexity_category,produces,understands
146954,produces,38,12,193,42,English (American),WG,Second,White,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_38,meow,word,sounds,other,other,meow,,TRUE,TRUE
146955,,38,15,34,9,English (American),WG,First,Hispanic,Female,NA,TRUE,Graduate,FALSE,Marchman (Norming),CC-BY,item_38,meow,word,sounds,other,other,meow,,FALSE,FALSE
146956,,38,15,177,19,English (American),WG,First,White,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_38,meow,word,sounds,other,other,meow,,FALSE,FALSE
146957,,38,13,107,6,English (American),WG,Third,Black,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_38,meow,word,sounds,other,other,meow,,FALSE,FALSE
146958,understands,38,13,95,3,English (American),WG,First,White,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_38,meow,word,sounds,other,other,meow,,FALSE,TRUE
146959,produces,38,17,317,260,English (American),WG,First,White,Male,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_38,meow,word,sounds,other,other,meow,,TRUE,TRUE
146960,,38,13,17,1,English (American),WG,First,White,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_38,meow,word,sounds,other,other,meow,,FALSE,FALSE
146961,understands,38,14,235,11,English (American),WG,Second,Other,Female,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_38,meow,word,sounds,other,other,meow,,FALSE,TRUE
146962,,38,15,119,26,English (American),WG,Fourth,Black,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_38,meow,word,sounds,other,other,meow,,FALSE,FALSE
146963,,38,12,158,6,English (American),WG,Third,White,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_38,meow,word,sounds,other,other,meow,,FALSE,FALSE
